Police_Station,Mandals_Count
Adgaon Police Station,8
Ambad Police Station - Major Ganesh Groups,12
Bhadrakali Police Station - Major Ganesh Groups,41
Gangapur Police Station - Major Ganesh Groups,10
Indiranagar Police Station,6
"MIDC Chunchale Police Chowki, Ambad Police Station",8
Mhasrul Police Station - Major Ganesh Groups,4
Mumbai naka Police station,21
Nashik Road Police Station - Major Ganesh Groups,10
Panchavati Police Station,29
Police Station Locations,13
Police Stations,13
Satpur Police Station - Information on Major Groups,18
Upnagar Police Station - Information on Major Groups,11
