Police_Station,Mandal_Name,Latitude,Longitude,Google_Maps_Link,QR_Payload
Adgaon Police Station,"Jai Bajrang Yuva Foundation, Madsangvi Village",20.001306,73.874111,"https://maps.google.com/?q=20.001306,73.874111","https://maps.google.com/?q=20.001306,73.874111"
Adgaon Police Station,Kapaleshwar Kala Krida and Sanskrutik Mitra Mandal,20.010132,73.821666,"https://maps.google.com/?q=20.010132,73.821666","https://maps.google.com/?q=20.010132,73.821666"
Adgaon Police Station,Mhasoba Maharaj Mitra Mandal,19.996694,73.843667,"https://maps.google.com/?q=19.996694,73.843667","https://maps.google.com/?q=19.996694,73.843667"
Adgaon Police Station,Shivgarjana Mitra Mandal,20.018361,73.843056,"https://maps.google.com/?q=20.018361,73.843056","https://maps.google.com/?q=20.018361,73.843056"
Adgaon Police Station,Shivraj Foundation,20.016167,73.845222,"https://maps.google.com/?q=20.016167,73.845222","https://maps.google.com/?q=20.016167,73.845222"
Adgaon Police Station,Swarajya Mitra Mandal,20.033639,73.865417,"https://maps.google.com/?q=20.033639,73.865417","https://maps.google.com/?q=20.033639,73.865417"
Adgaon Police Station,Vetal Baba Mitra Mandal,19.999944,73.922833,"https://maps.google.com/?q=19.999944,73.922833","https://maps.google.com/?q=19.999944,73.922833"
Adgaon Police Station,Yuva Chhava Group,19.996694,73.899111,"https://maps.google.com/?q=19.996694,73.899111","https://maps.google.com/?q=19.996694,73.899111"
Ambad Police Station - Major Ganesh Groups,Cidcocha Raja Mitra Mandal (AMB-008),19.98555555,73.75597222,"https://maps.google.com/?q=19.98555555,73.75597222","https://maps.google.com/?q=19.98555555,73.75597222"
Ambad Police Station - Major Ganesh Groups,Datdham Chowk Mitra Mandal (AMB-009),19.9825,73.76025,"https://maps.google.com/?q=19.9825,73.76025","https://maps.google.com/?q=19.9825,73.76025"
Ambad Police Station - Major Ganesh Groups,Ekta Vividh Vikas Seva Sansthan (Valuable) (AMB-002),19.9703611,73.75655555,"https://maps.google.com/?q=19.9703611,73.75655555","https://maps.google.com/?q=19.9703611,73.75655555"
Ambad Police Station - Major Ganesh Groups,Hulk Fitness Social Foundation (AMB-010),19.98869444,73.75036111,"https://maps.google.com/?q=19.98869444,73.75036111","https://maps.google.com/?q=19.98869444,73.75036111"
Ambad Police Station - Major Ganesh Groups,Mauli Mitra Mandal (AMB-012),19.97280555,73.74769444,"https://maps.google.com/?q=19.97280555,73.74769444","https://maps.google.com/?q=19.97280555,73.74769444"
Ambad Police Station - Major Ganesh Groups,Pelican Bahu-uddeshiya Sanstha (Valuable) (AMB-001),19.96688888,73.76594444,"https://maps.google.com/?q=19.96688888,73.76594444","https://maps.google.com/?q=19.96688888,73.76594444"
Ambad Police Station - Major Ganesh Groups,"Raje Chhatrapati Educational, Cultural, Arts and Sports Mandal (AMB-004)",19.97563888,73.68866666,"https://maps.google.com/?q=19.97563888,73.68866666","https://maps.google.com/?q=19.97563888,73.68866666"
Ambad Police Station - Major Ganesh Groups,Raje Sambhaji Kala Va Krida Mandal (AMB-007),19.97466666,73.756,"https://maps.google.com/?q=19.97466666,73.756","https://maps.google.com/?q=19.97466666,73.756"
Ambad Police Station - Major Ganesh Groups,Sarvagnya Foundation (AMB-011),19.97302777,73.74616666,"https://maps.google.com/?q=19.97302777,73.74616666","https://maps.google.com/?q=19.97302777,73.74616666"
Ambad Police Station - Major Ganesh Groups,Shivraj Yuvak Mitra Mandal (AMB-006),19.97041666,73.75355555,"https://maps.google.com/?q=19.97041666,73.75355555","https://maps.google.com/?q=19.97041666,73.75355555"
Ambad Police Station - Major Ganesh Groups,Shri Krishna Kala Va Krida Sanskrutik Mitra Mandal (Valuable) (AMB-003),19.96777777,73.74099999,"https://maps.google.com/?q=19.96777777,73.74099999","https://maps.google.com/?q=19.96777777,73.74099999"
Ambad Police Station - Major Ganesh Groups,Shrimant Cidcocha Maharaja Cidco Colony Mitra Mandal (AMB-005),19.97641666,73.76977777,"https://maps.google.com/?q=19.97641666,73.76977777","https://maps.google.com/?q=19.97641666,73.76977777"
Bhadrakali Police Station - Major Ganesh Groups,Arjun Kala Va Krida Mandal (BHA-031),19.99071,73.79935,"https://maps.google.com/?q=19.99071,73.79935","https://maps.google.com/?q=19.99071,73.79935"
Bhadrakali Police Station - Major Ganesh Groups,Bhadrakali Karanja Mitra Mandal (BHA-001),20.001916,73.791292,"https://maps.google.com/?q=20.001916,73.791292","https://maps.google.com/?q=20.001916,73.791292"
Bhadrakali Police Station - Major Ganesh Groups,Bhadrakali Yuvak Mandal (BHA-023),20.0013,73.78972,"https://maps.google.com/?q=20.0013,73.78972","https://maps.google.com/?q=20.0013,73.78972"
